AnaHernández;2868228
AlejandroAguilar;2051213
BeatrizRivera;1652416
ValeriaRivera;1634885
FedericoFernández;1578504
ElenaFernández;1393852
MiguelNúñez;1078556
FedericoSerrano;1024798
DiegoRuiz;841788
DanielRamírez;840647
SofíaReyes;828411
PabloGarcía;798766
CarmenAguilar;762464
FernandoRojas;693213
MartinaRamos;664765
JorgeDíaz;661648
EvaCastillo;417266
MartinaSalazar;285207
JavierPeña;282652
RaquelFlores;0
RaquelFlores;0
RaquelFlores;0
RaquelFlores;0
RaquelFlores;0
RaquelFlores;0
RaquelFlores;0
